Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,16,1.1312292398387775,0.007375051881716186,0.14635395413255986,28.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,17,1.132243462909236,0.013170383042559802,0.14312828301055783,32.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,18,1.1342337382530185,0.010977304420204729,0.1312748462116366,35.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,19,1.1314999789801221,0.015618011398285395,0.16793934151294695,23.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,20,1.1315605937243354,0.008847330177917506,0.14184734281221958,30.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,21,1.1333269226416014,0.008449441170816387,0.13269387696611032,34.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,22,1.1304787392788698,0.020263101556420613,0.030878803048707777,24.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,23,1.1310011626385066,0.015357116946983383,0.16943487851479216,20.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,24,1.1349346583257285,0.010775069496737394,0.1497177921405032,26.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,25,1.1321440137653727,0.010823424344984182,0.1544887264433057,25.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,26,1.1316273238126047,0.009489865035088042,0.13900161874431535,31.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,27,1.1313151859471495,0.007474723139611213,0.14068649479379117,30.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,28,1.1327068054083191,0.014068100905884779,0.13467690662596546,33.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,29,1.1288300619368317,0.009114810731227666,0.14527921989902098,30.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,0,0.998374839129682,0.09526652829848511,0.11590626988409337,11.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,1,0.9982386172842583,0.06945869918183825,0.0589544378872419,17.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,2,1.0060164729129766,0.06821703061365537,0.16511725662834562,12.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,3,1.0245426681108882,0.04483098338554583,0.11174183849156911,10.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,4,1.0174827728844138,0.02555415244778897,0.09799132028807643,12.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,5,0.9946030821706295,0.08575542770490366,0.055602940649002515,16.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,6,1.0034464732399504,0.06778542330341364,0.09528981846678448,13.0,,
